gene_accession,A_B1_alignment_dedup,PT010H2T0_alignment_dedup,A_P1_alignment_dedup,A_P2_alignment_dedup,A_B2_alignment_dedup,UK034D1T0_alignment_dedup,PT131D1T0_alignment_dedup,UK020D1T0_alignment_dedup,UK008H1T0_alignment_dedup,A_H2_alignment_dedup,A_H1_alignment_dedup
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,718.0,0,0,0,0,0,479.0,653.0
MEG_2471|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCP,0,0,0,0,0,0,0,0,0,89.0,0
MEG_923|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,49.0,64.0,0,0,0,0,0,149.0,180.0
MEG_8704|Drugs|betalactams|Class_A_betalactamases|TEM,46.0,0,0,39.0,7.0,0,388.0,0,0,0,0
MEG_839|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,29.0,54.0
MEG_3745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,0,0,0,0,0,0,33.0,0,0,0,0
MEG_7236|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,2097.0,2108.0,3285.0,3150.0,2105.0,1248.0,0,0,2147.0,532.0,591.0
MEG_6618|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,87.0,1077.0,58.0,0,340.0,0,65.0,0,0,233.0,311.0
MEG_7802|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VMLR,0,0,0,0,22.0,0,0,0,0,0,0
MEG_1014|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,136.0,0,1134.0,879.0,248.0,0,0,0,0,0,0
MEG_824|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,24.0,29.0
MEG_2082|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,0,0,0,0,5.0,2.0,0,2.0,0,0,0
MEG_3855|Metals|Mercury_resistance|Mercury_resistance_protein|MERB,0,0,0,0,0,0,80.0,0,0,0,0
MEG_6123|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,5367.0,4312.0,6146.0,6951.0,4213.0,1263.0,6630.0,7000.0,5874.0,566.0,589.0
MEG_7504|Drugs|Glycopeptides|VanD-type_regulator|VANSD,0,44.0,0,0,0,0,0,0,0,0,0
MEG_8707|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,24.0,0,0,262.0,0,0,0,0
MEG_6710|Drugs|betalactams|Class_A_betalactamases|TEM,102.0,0,48.0,220.0,20.0,0,537.0,0,0,0,0
MEG_7525|Drugs|Glycopeptides|VanC-type_resistance_protein|VANTC,0,0,0,0,0,0,1669.0,0,0,0,0
MEG_7242|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,847.0,0,883.0,888.0,1159.0,0,0,0,0,0,0
MEG_6958|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERD,0,0,0,16.0,11.0,0,0,0,0,10.0,15.0
MEG_4107|Drugs|MLS|23S_rRNA_methyltransferases|MYRA,602.0,0,1278.0,1513.0,1284.0,0,0,0,0,22.0,41.0
MEG_4840|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,8.0,0
MEG_30|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,0,0,0,0,0,0,0,0,6.0
MEG_2086|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,938.0,727.0,864.0,1280.0,636.0,221.0,1300.0,1361.0,1156.0,0,29.0
MEG_893|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,143.0,127.0,20.0,0,40.0,0,0,0,31.0
MEG_1012|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,0,1564.0,1106.0,0,0,0,0,0,21.0,53.0
MEG_959|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,42.0,42.0,0,0,27.0,0,0,112.0,104.0
MEG_838|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,29.0,16.0,0,0,0,0,0,43.0,45.0
MEG_2523|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,45.0,0,0,99.0,0,0,0,0
MEG_105|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,5.0,0
MEG_1044|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,27.0,0,236.0,627.0,96.0,83.0,0,0,0,9.0,0
MEG_138|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,695.0,0,0,0,15.0,427.0,0,194.0,0,0
MEG_8418|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,8.0,0
MEG_6104|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,2357.0,2436.0
MEG_2479|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZRA,0,187.0,0,0,0,0,0,0,0,0,0
MEG_5207|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,683.0,705.0
MEG_2894|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,758.0,811.0,488.0,1307.0,505.0,0,122.0,0,0,0,0
MEG_5853|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACL,0,0,0,0,0,0,0,0,0,0,14.0
MEG_7460|Drugs|Glycopeptides|VanB-type_regulator|VANRB,0,61.0,34.0,9.0,0,0,0,0,0,0,0
MEG_6947|Drugs|betalactams|Class_A_betalactamases|TEM,81.0,0,33.0,107.0,30.0,0,517.0,0,0,0,0
MEG_1325|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0,0,0,0,7.0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,66.0,90.0,0,374.0,0,0,0,0,0
MEG_5843|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACG,0,0,7.0,24.0,0,0,0,0,0,133.0,159.0
MEG_1464|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BLT,0,0,0,0,30.0,0,0,0,0,0,0
MEG_7085|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETH,22.0,0,67.0,188.0,24.0,0,0,0,0,0,0
MEG_5747|Biocides|Multi-biocide_resistance|Multi-biocide_MATE_efflux_pump|PDRM,0,80.0,0,0,0,0,202.0,0,406.0,0,0
MEG_2918|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,126.0,0,0,0,115.0,0,211.0,0,0,30.0,0
MEG_3512|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN,0,0,0,0,0,0,0,0,0,46.0,46.0
MEG_6934|Drugs|betalactams|Class_A_betalactamases|TEM,606.0,0,373.0,679.0,266.0,0,1028.0,0,0,0,0
MEG_926|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,66.0,78.0
MEG_1785|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX,2252.0,0,167.0,286.0,2292.0,549.0,0,0,0,50.0,47.0
MEG_8289|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPK|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,29.0
MEG_1189|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,1326.0,1135.0,1304.0,1522.0,895.0,386.0,1502.0,1504.0,1364.0,50.0,60.0
MEG_7163|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,2768.0,2806.0,3199.0,3114.0,2774.0,517.0,0,1038.0,2822.0,611.0,792.0
MEG_6909|Drugs|betalactams|Class_A_betalactamases|TEM,1057.0,0,737.0,1154.0,499.0,0,1387.0,0,0,0,0
MEG_6150|Drugs|betalactams|Class_A_betalactamases|RTG,0,0,0,6.0,0,0,0,0,0,0,0
MEG_7855|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,988.0,584.0,957.0,1173.0,827.0,169.0,1224.0,1393.0,1102.0,46.0,0
MEG_3940|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXY,0,106.0,0,0,0,0,0,0,0,0,0
MEG_1198|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS,0,54.0,0,0,0,0,0,0,0,0,0
MEG_414|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,15.0,13.0
MEG_2499|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,17.0,6.0,0,0,0,0,0,0,0,0
MEG_1177|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,0,0,547.0,66.0,0,4.0,0,0,0,0,6.0
MEG_4656|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,25.0,0,0,0,0,0,0,0,0
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,1111.0,827.0,1105.0,1157.0,1028.0,281.0,1079.0,1094.0,1008.0,42.0,78.0
MEG_2772|Drugs|MLS|23S_rRNA_methyltransferases|ERM,1694.0,1648.0,1659.0,1134.0,1704.0,0,0,0,0,0,0
MEG_6873|Drugs|betalactams|Class_A_betalactamases|TEM,361.0,0,162.0,393.0,0,0,723.0,0,0,0,0
MEG_4160|Metals|Chromium_resistance|Chromium_resistance_protein|NFSA,1242.0,927.0,1201.0,1368.0,1014.0,299.0,1338.0,1351.0,1263.0,70.0,59.0
MEG_3231|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,2766.0,2847.0
MEG_6825|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,225.0,0,0,0,0
MEG_3837|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,0,0,0,0,0,0,0,0,0,1266.0,1260.0
MEG_5214|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,957.0,1016.0
MEG_6849|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,55.0,0,0,0,0
MEG_3921|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ,0,139.0,0,0,0,0,0,0,0,0,0
MEG_3663|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR,757.0,560.0,735.0,795.0,678.0,158.0,750.0,746.0,701.0,27.0,48.0
MEG_6916|Drugs|betalactams|Class_A_betalactamases|TEM,173.0,0,84.0,207.0,23.0,0,602.0,0,0,0,0
MEG_3724|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,0,0,0,0,0,0,0,0,0,107.0,159.0
MEG_1722|Metals|Copper_resistance|Copper_resistance_protein|CINA,0,38.0,0,0,0,0,0,0,0,0,0
MEG_5829|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACEDELTA1,369.0,80.0,286.0,316.0,425.0,0,0,0,0,436.0,436.0
MEG_762|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,53.0,71.0
MEG_779|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,56.0,47.0,0,0,26.0,0,0,135.0,116.0
MEG_4919|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,633.0,640.0
MEG_5415|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|PCM,0,0,0,0,0,0,0,0,0,65.0,64.0
MEG_876|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,34.0,73.0,0,0,67.0,0,0,140.0,184.0
MEG_6635|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,118.0,0,56.0,104.0,340.0,0,0,0,0,643.0,608.0
MEG_2786|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,979.0,0,48.0,83.0,1043.0,0,38.0,0,0,10.0,16.0
MEG_4110|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|NALD|RequiresSNPConfirmation,0,24.0,0,0,0,0,0,0,0,0,0
MEG_2942|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0,0,0,0,41.0,0,0,0,0
MEG_8712|Drugs|betalactams|Class_A_betalactamases|TEM,187.0,0,69.0,295.0,34.0,0,686.0,0,0,0,0
MEG_751|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0,0,0,12.0,0,0,0,0,0,0,0
MEG_344|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,16.0,23.0
MEG_212|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,21.0,0,547.0,434.0,29.0,0,0,0,0,0,8.0
MEG_398|Metals|Arsenic_resistance|Arsenic_resistance_membrane_transporter|ACR3,0,0,397.0,175.0,0,0,0,0,0,0,0
MEG_6815|Drugs|betalactams|Class_A_betalactamases|TEM,125.0,0,44.0,156.0,19.0,0,499.0,0,0,0,0
MEG_7044|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,1076.0,83.0,1308.0,1347.0,506.0,0,0,0,0,0,0
MEG_6124|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,607.0,0,0,0,0,0,0,0
MEG_4732|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,174.0,213.0
MEG_1764|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0,0,0,97.0,0,0,437.0,0,0,33.0,0
MEG_2816|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,55.0,0,0,0,116.0,0,0,0,0,0,0
MEG_812|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,25.0,25.0,0,0,0,0,0,236.0,219.0
MEG_4078|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|MTRAD,0,0,0,0,0,0,0,0,0,238.0,222.0
MEG_1547|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,0,0,0,0,0,0,10.0
MEG_5797|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|PMRA,0,43.0,0,0,0,0,94.0,0,171.0,0,0
MEG_7055|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETBP,3793.0,3051.0,3586.0,3616.0,3787.0,3768.0,1501.0,3535.0,1407.0,243.0,499.0
MEG_2919|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,226.0,0,0,0,0,0,247.0,0,0,0,28.0
MEG_5828|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACE,193.0,20.0,111.0,122.0,292.0,0,0,0,0,380.0,387.0
MEG_6671|Drugs|betalactams|Class_A_betalactamases|TEM,118.0,0,43.0,143.0,20.0,0,462.0,0,0,0,0
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1692.0,1037.0,1607.0,1653.0,1838.0,892.0,657.0,641.0,960.0,2578.0,2645.0
MEG_3773|Drugs|betalactams|Penicillin_binding_protein|MECA,0,0,0,0,0,0,106.0,0,0,0,0
MEG_3605|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,0,0,12.0,10.0,0,0,0,0,0,0,0
MEG_6781|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,18.0,0,0,0,0,0,0,0
MEG_2675|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,207.0,249.0,189.0,511.0,129.0,30.0,695.0,782.0,609.0,0,0
MEG_2868|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,1627.0,2784.0,4420.0,5468.0,951.0,307.0,4511.0,2072.0,0,0,0
MEG_1277|Drugs|betalactams|Class_C_betalactamases|BLAEC,0,1002.0,437.0,652.0,0,70.0,2029.0,0,683.0,0,0
MEG_2050|Metals|Copper_resistance|Copper_resistance_protein|COPC,0,0,0,8.0,0,15.0,0,0,0,158.0,161.0
MEG_5064|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,518.0,633.0
MEG_5406|Drugs|betalactams|Penicillin_binding_protein|PBP2B|RequiresSNPConfirmation,0,138.0,0,0,0,0,0,0,388.0,0,0
MEG_7539|Drugs|Glycopeptides|VanB-type_accessory_protein|VANWB,0,13.0,14.0,0,0,0,0,0,0,0,0
MEG_6673|Drugs|betalactams|Class_A_betalactamases|TEM,0,16.0,0,0,0,0,292.0,0,0,0,0
MEG_3084|Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC-resistant_protein_UDP_glucose_4_epimerase|GALE,0,0,0,0,0,0,0,0,140.0,14.0,24.0
MEG_6640|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIV,0,0,0,0,0,0,0,0,0,257.0,439.0
MEG_324|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,524.0,0,0,0,0,239.0,0,93.0,0,0
MEG_6073|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTG,0,605.0,21.0,21.0,0,0,0,0,0,0,0
MEG_2669|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,0,0,0,0,0,0,0,0,0,121.0,129.0
MEG_1631|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATP|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,300.0,0,0
MEG_6115|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,302.0,0,0
MEG_2683|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,192.0,256.0,199.0,469.0,140.0,47.0,681.0,783.0,597.0,0,0
MEG_1185|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY,0,0,0,0,0,0,0,0,0,1001.0,0
MEG_6639|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII,0,0,1183.0,407.0,0,0,47.0,0,0,52.0,92.0
MEG_1519|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,0,0,0,0,0,0,17.0
MEG_1020|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,0,0,0,0,0,0,0,51.0,62.0
MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,2468.0,1991.0,2430.0,2554.0,2218.0,970.0,2525.0,2595.0,2398.0,181.0,175.0
MEG_7264|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,2188.0,1572.0,1950.0,2741.0,1513.0,456.0,2581.0,2725.0,2432.0,49.0,42.0
MEG_1026|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,51.0,0,298.0,391.0,33.0,0,0,0,0,0,0
MEG_2449|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,680.0,1746.0,1299.0,1670.0,321.0,333.0,1586.0,0,0,44.0,0
MEG_368|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,65.0,64.0,996.0,984.0,80.0,0,0,681.0,0,18.0,31.0
MEG_5416|Metals|Copper_resistance|Copper_resistance_protein|PCOA,0,0,1940.0,3563.0,0,22.0,138.0,0,119.0,179.0,260.0
MEG_2747|Drugs|MLS|Macrolide_esterases|EREA,0,0,0,0,0,0,0,0,0,909.0,1053.0
MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI,523.0,417.0,510.0,566.0,460.0,166.0,573.0,594.0,540.0,24.0,31.0
MEG_2730|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,1907.0,1542.0,1723.0,2165.0,1455.0,611.0,2175.0,2239.0,2151.0,54.0,42.0
MEG_1784|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX,1972.0,0,132.0,197.0,2136.0,404.0,0,0,0,34.0,27.0
MEG_7117|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2380.0,707.0,720.0,858.0,2534.0,0,0,0,429.0,627.0,1107.0
MEG_2807|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,774.0,1201.0,1206.0,1165.0,791.0,51.0,0,0,540.0,550.0,793.0
MEG_3857|Metals|Mercury_resistance|Mercury_resistance_protein|MERC,0,0,486.0,766.0,474.0,0,0,0,55.0,284.0,338.0
MEG_2804|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,1026.0,1248.0,1288.0,1275.0,1063.0,68.0,0,0,574.0,802.0,1007.0
MEG_7119|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1406.0,383.0,2695.0,2924.0,1431.0,0,852.0,0,0,615.0,1122.0
MEG_6628|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,134.0,1272.0,49.0,40.0,59.0,0,94.0,0,0,253.0,376.0
MEG_8298|Drugs|betalactams|Class_D_betalactamases|OXA,0,10.0,0,0,0,0,0,0,0,0,0
MEG_7126|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2185.0,1315.0,1909.0,2268.0,2902.0,2437.0,1806.0,0,829.0,182.0,388.0
MEG_6612|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,183.0,19.0,145.0,217.0,503.0,0,0,0,0,861.0,865.0
MEG_7081|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG,0,0,22.0,49.0,0,0,0,0,0,115.0,97.0
MEG_3931|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXS|RequiresSNPConfirmation,0,43.0,0,0,0,0,0,0,0,0,0
MEG_1544|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,0,0,0,0,0,0,559.0
MEG_6763|Drugs|betalactams|Class_A_betalactamases|TEM,97.0,0,69.0,172.0,28.0,0,567.0,0,0,0,0
MEG_7080|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG,0,0,0,59.0,0,0,0,0,0,88.0,86.0
MEG_928|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,231.0,0,0,0,0,19.0,21.0
MEG_953|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,139.0,0,0,0,0,6.0,13.0
MEG_4973|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,610.0,645.0
MEG_3294|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|IDER,0,0,0,0,0,0,0,0,0,95.0,94.0
MEG_1013|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,25.0,39.0,1584.0,1596.0,67.0,0,0,1126.0,0,15.0,23.0
MEG_194|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,37.0,117.0
MEG_2959|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,379.0,567.0,630.0,1161.0,355.0,79.0,1011.0,981.0,639.0,17.0,0
MEG_3936|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXW,0,144.0,0,0,0,0,0,0,0,0,0
MEG_3656|Drugs|betalactams|Class_A_betalactamases|M1,0,0,0,0,0,0,0,0,0,115.0,202.0
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3133.0,2219.0,2555.0,2847.0,3650.0,2779.0,1636.0,1311.0,2076.0,4432.0,4441.0
MEG_5223|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,15.0,0
MEG_7214|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,3488.0,3328.0,3603.0,3506.0,3456.0,685.0,0,1134.0,3261.0,872.0,1120.0
MEG_7865|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,1324.0,880.0,1234.0,1484.0,1025.0,404.0,1415.0,1431.0,1407.0,35.0,52.0
MEG_2752|Drugs|MLS|Macrolide_esterases|EREB,0,0,0,0,0,0,0,0,0,827.0,1130.0
MEG_2454|Metals|Copper_resistance|Copper_resistance_protein|CUTA,523.0,424.0,513.0,597.0,444.0,158.0,562.0,616.0,540.0,22.0,34.0
MEG_8106|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,165.0,168.0
MEG_739|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0,0,0,0,8.0,0,0,0,0,0,0
MEG_2726|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRBSM,0,0,0,0,0,0,0,0,0,0,505.0
MEG_6679|Drugs|betalactams|Class_A_betalactamases|TEM,50.0,0,18.0,66.0,12.0,0,368.0,0,0,0,0
MEG_3878|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,0,0,0,0,0,0,35.0,0,0,0,0
MEG_2552|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,15.0,49.0
MEG_7164|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,3171.0,3065.0,3315.0,3241.0,3127.0,2515.0,3221.0,2515.0,2917.0,1025.0,1349.0
MEG_6915|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,405.0,0,0,0,0
MEG_6547|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|SOXR,0,18.0,0,0,0,0,0,0,0,0,0
MEG_7031|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,1563.0,0,738.0,795.0,1517.0,1782.0,421.0,0,0,0,0
MEG_7836|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YJAA,564.0,458.0,383.0,645.0,471.0,69.0,12.0,0,0,8.0,13.0
MEG_7045|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,1416.0,104.0,1713.0,1750.0,652.0,0,0,0,0,0,14.0
